year,nr_deaths_5,nr_deaths_10,nr_deaths_15,notes,
2000,856979,454820,748614,under 5 missing
2001,829536,441094,738584,
2002,803975,429455,734946,
2003,784842,426961,734832,
2004,783638,435936,744031,
2005,743441,412500,719562,
2006,717324,402085,706601,
2007,693447,396391,692271,
2008,688170,404042,695978,
2009,649553,382013,666450,
2010,646654,391277,668062,
2011,608816,367622,642990,
2012,594545,364985,643247,
2013,579950,363454,639307,
2014,568288,360140,640408,
2015,550323,353880,634656,
2016,534706,346126,626546,
